Location,TimeFrame,CHILD_POVERTY_PCT
Adair,1997,33.8
Adair,1998,30.2
Adair,1999,29.6
Adair,2000,30.9
Adair,2001,31
Adair,2002,29.3
Adair,2003,29
Adair,2004,30
Adair,2005,35
Adair,2006,34.2
Adair,2007,31.7
Adair,2008,33
Adair,2009,34
Adair,2010,35.4
Adair,2011,37.6
Adair,2012,39.2
Adair,2013,39
Adair,2014,38.3
Adair,2015,41
Adair,2016,36.7
Adair,2017,33.5
Adair,2018,35
Allen,1997,20
Allen,1998,22.1
Allen,1999,19.7
Allen,2000,23.8
Allen,2001,19.4
Allen,2002,20
Allen,2003,20.8
Allen,2004,23.9
Allen,2005,25
Allen,2006,25.7
Allen,2007,27
Allen,2008,27.5
Allen,2009,27.9
Allen,2010,31
Allen,2011,29.4
Allen,2012,30.8
Allen,2013,31.4
Allen,2014,29.3
Allen,2015,30.2
Allen,2016,28
Allen,2017,30.2
Allen,2018,24.6
Anderson,1997,11.8
Anderson,1998,12.6
Anderson,1999,11.6
Anderson,2000,9
Anderson,2001,11.1
Anderson,2002,11.8
Anderson,2003,12.9
Anderson,2004,12.7
Anderson,2005,12
Anderson,2006,13.2
Anderson,2007,12.9
Anderson,2008,13.2
Anderson,2009,16.7
Anderson,2010,18.4
Anderson,2011,17.2
Anderson,2012,18
Anderson,2013,18.5
Anderson,2014,17.2
Anderson,2015,16.8
Anderson,2016,15.3
Anderson,2017,14.1
Anderson,2018,14.4
Ballard,1997,19
Ballard,1998,19.4
Ballard,1999,19.5
Ballard,2000,19.8
Ballard,2001,18.9
Ballard,2002,20.7
Ballard,2003,20.4
Ballard,2004,21
Ballard,2005,22
Ballard,2006,22
Ballard,2007,24.3
Ballard,2008,22.2
Ballard,2009,24.2
Ballard,2010,22.5
Ballard,2011,24.9
Ballard,2012,25.5
Ballard,2013,26.2
Ballard,2014,24
Ballard,2015,24.5
Ballard,2016,24.3
Ballard,2017,23.7
Ballard,2018,24.4
Barren,1997,22.8
Barren,1998,22.5
Barren,1999,20.8
Barren,2000,20.6
Barren,2001,21.3
Barren,2002,22.3
Barren,2003,22.5
Barren,2004,23.3
Barren,2005,27
Barren,2006,25.5
Barren,2007,25
Barren,2008,25.5
Barren,2009,28.2
Barren,2010,28.9
Barren,2011,31
Barren,2012,30.2
Barren,2013,29.3
Barren,2014,29.2
Barren,2015,28.7
Barren,2016,30.4
Barren,2017,32.8
Barren,2018,26.8
Bath,1997,35
Bath,1998,30.7
Bath,1999,28
Bath,2000,29.9
Bath,2001,26.6
Bath,2002,27.4
Bath,2003,28.1
Bath,2004,28.6
Bath,2005,33
Bath,2006,30.6
Bath,2007,36.5
Bath,2008,38.4
Bath,2009,37.7
Bath,2010,38.1
Bath,2011,38
Bath,2012,36.5
Bath,2013,38.9
Bath,2014,33.8
Bath,2015,37.8
Bath,2016,34.4
Bath,2017,34
Bath,2018,33.1
Bell,1997,39.3
Bell,1998,33.5
Bell,1999,34.2
Bell,2000,42.1
Bell,2001,37.2
Bell,2002,39.4
Bell,2003,38.5
Bell,2004,39.4
Bell,2005,47
Bell,2006,42.4
Bell,2007,38.7
Bell,2008,41.8
Bell,2009,51.5
Bell,2010,41.9
Bell,2011,50.5
Bell,2012,46.5
Bell,2013,47.3
Bell,2014,45.1
Bell,2015,56.8
Bell,2016,47.4
Bell,2017,45.5
Bell,2018,43.5
Boone,1997,9.5
Boone,1998,9.7
Boone,1999,9
Boone,2000,6.8
Boone,2001,7.8
Boone,2002,8.3
Boone,2003,9.1
Boone,2004,9.8
Boone,2005,10
Boone,2006,8.7
Boone,2007,8.3
Boone,2008,8
Boone,2009,10.7
Boone,2010,11.5
Boone,2011,12.1
Boone,2012,12.3
Boone,2013,11.7
Boone,2014,11.3
Boone,2015,10.5
Boone,2016,10.3
Boone,2017,8.7
Boone,2018,8.7
Bourbon,1997,20.9
Bourbon,1998,21.1
Bourbon,1999,18.5
Bourbon,2000,19.3
Bourbon,2001,19.6
Bourbon,2002,19.3
Bourbon,2003,19.9
Bourbon,2004,20.2
Bourbon,2005,25
Bourbon,2006,21.7
Bourbon,2007,21.6
Bourbon,2008,21.1
Bourbon,2009,24
Bourbon,2010,24.7
Bourbon,2011,28.8
Bourbon,2012,26.4
Bourbon,2013,25.8
Bourbon,2014,28.5
Bourbon,2015,24.4
Bourbon,2016,27.3
Bourbon,2017,23
Bourbon,2018,24.2
Boyd,1997,25.9
Boyd,1998,25.4
Boyd,1999,22.7
Boyd,2000,23.5
Boyd,2001,21.9
Boyd,2002,23.6
Boyd,2003,23.5
Boyd,2004,24.8
Boyd,2005,24
Boyd,2006,25.6
Boyd,2007,23.6
Boyd,2008,24
Boyd,2009,29.5
Boyd,2010,28.4
Boyd,2011,29.9
Boyd,2012,26.5
Boyd,2013,26.6
Boyd,2014,34.7
Boyd,2015,29.4
Boyd,2016,26.1
Boyd,2017,28.5
Boyd,2018,26.8
Boyle,1997,19.6
Boyle,1998,19.3
Boyle,1999,17.6
Boyle,2000,16.1
Boyle,2001,17.5
Boyle,2002,18.1
Boyle,2003,19
Boyle,2004,20
Boyle,2005,20
Boyle,2006,23.9
Boyle,2007,22.7
Boyle,2008,20.5
Boyle,2009,26.3
Boyle,2010,23.2
Boyle,2011,24.8
Boyle,2012,24.7
Boyle,2013,25
Boyle,2014,24.2
Boyle,2015,24.9
Boyle,2016,23.2
Boyle,2017,19.5
Boyle,2018,20.3
Bracken,1997,22.2
Bracken,1998,21.3
Bracken,1999,16
Bracken,2000,10.7
Bracken,2001,14.9
Bracken,2002,16.6
Bracken,2003,16.7
Bracken,2004,16.8
Bracken,2005,16
Bracken,2006,17.8
Bracken,2007,20.8
Bracken,2008,19.3
Bracken,2009,24.1
Bracken,2010,24.7
Bracken,2011,25.5
Bracken,2012,26
Bracken,2013,24.7
Bracken,2014,25.7
Bracken,2015,24.7
Bracken,2016,23.8
Bracken,2017,20.7
Bracken,2018,21.6
Breathitt,1997,44.9
Breathitt,1998,37.8
Breathitt,1999,37.6
Breathitt,2000,43.5
Breathitt,2001,39.2
Breathitt,2002,41.4
Breathitt,2003,39.8
Breathitt,2004,39.8
Breathitt,2005,47
Breathitt,2006,45.3
Breathitt,2007,45.3
Breathitt,2008,44.7
Breathitt,2009,46.6
Breathitt,2010,38.7
Breathitt,2011,47.2
Breathitt,2012,44.2
Breathitt,2013,43.6
Breathitt,2014,44.1
Breathitt,2015,42.9
Breathitt,2016,44.2
Breathitt,2017,44.5
Breathitt,2018,43.4
Breckinridge,1997,26.5
Breckinridge,1998,26.5
Breckinridge,1999,21.4
Breckinridge,2000,16.8
Breckinridge,2001,21.6
Breckinridge,2002,23.1
Breckinridge,2003,23.1
Breckinridge,2004,23.6
Breckinridge,2005,26
Breckinridge,2006,25.1
Breckinridge,2007,24.1
Breckinridge,2008,27
Breckinridge,2009,30
Breckinridge,2010,29.6
Breckinridge,2011,30.6
Breckinridge,2012,29.1
Breckinridge,2013,27.9
Breckinridge,2014,27.3
Breckinridge,2015,25.6
Breckinridge,2016,26.2
Breckinridge,2017,25.5
Breckinridge,2018,23.7
Bullitt,1997,14
Bullitt,1998,12.9
Bullitt,1999,12.8
Bullitt,2000,11.5
Bullitt,2001,10.6
Bullitt,2002,11.9
Bullitt,2003,13.7
Bullitt,2004,14.6
Bullitt,2005,13
Bullitt,2006,12.2
Bullitt,2007,13.3
Bullitt,2008,13.3
Bullitt,2009,14.7
Bullitt,2010,15.3
Bullitt,2011,16.7
Bullitt,2012,15.7
Bullitt,2013,15.4
Bullitt,2014,17.4
Bullitt,2015,14.5
Bullitt,2016,14.4
Bullitt,2017,12.2
Bullitt,2018,12.6
Butler,1997,27.8
Butler,1998,26.3
Butler,1999,22.5
Butler,2000,18.8
Butler,2001,21.5
Butler,2002,23.2
Butler,2003,24.4
Butler,2004,23.9
Butler,2005,25
Butler,2006,26
Butler,2007,26.8
Butler,2008,26.6
Butler,2009,30
Butler,2010,29.3
Butler,2011,30.5
Butler,2012,30
Butler,2013,33.5
Butler,2014,31
Butler,2015,31.3
Butler,2016,27.4
Butler,2017,23
Butler,2018,22.1
Caldwell,1997,25.8
Caldwell,1998,26.1
Caldwell,1999,22.5
Caldwell,2000,20.6
Caldwell,2001,20.1
Caldwell,2002,21.2
Caldwell,2003,20.8
Caldwell,2004,21.7
Caldwell,2005,23
Caldwell,2006,24.3
Caldwell,2007,25.2
Caldwell,2008,23.4
Caldwell,2009,26.7
Caldwell,2010,28.7
Caldwell,2011,30.9
Caldwell,2012,31.1
Caldwell,2013,28.7
Caldwell,2014,28.4
Caldwell,2015,29.4
Caldwell,2016,33.6
Caldwell,2017,24.6
Caldwell,2018,26.6
Calloway,1997,20
Calloway,1998,18.6
Calloway,1999,18.7
Calloway,2000,18.6
Calloway,2001,18.4
Calloway,2002,19.4
Calloway,2003,20
Calloway,2004,20.4
Calloway,2005,22
Calloway,2006,19.9
Calloway,2007,22
Calloway,2008,20.9
Calloway,2009,23.8
Calloway,2010,22.5
Calloway,2011,23.7
Calloway,2012,23.4
Calloway,2013,24.5
Calloway,2014,24.7
Calloway,2015,24.1
Calloway,2016,24.9
Calloway,2017,20.6
Calloway,2018,23.1
Campbell,1997,14.6
Campbell,1998,14.7
Campbell,1999,13.7
Campbell,2000,12.4
Campbell,2001,12.4
Campbell,2002,13.2
Campbell,2003,13.4
Campbell,2004,14
Campbell,2005,17
Campbell,2006,16.4
Campbell,2007,13.9
Campbell,2008,15.6
Campbell,2009,15.6
Campbell,2010,17.2
Campbell,2011,18.3
Campbell,2012,19.4
Campbell,2013,21.1
Campbell,2014,17.7
Campbell,2015,17.8
Campbell,2016,16.7
Campbell,2017,11.7
Campbell,2018,14.4
Carlisle,1997,24.4
Carlisle,1998,22.7
Carlisle,1999,20.8
Carlisle,2000,18.6
Carlisle,2001,21.2
Carlisle,2002,20.2
Carlisle,2003,20.6
Carlisle,2004,20.3
Carlisle,2005,22
Carlisle,2006,23
Carlisle,2007,23.6
Carlisle,2008,23.4
Carlisle,2009,23.9
Carlisle,2010,24.6
Carlisle,2011,28.3
Carlisle,2012,27.3
Carlisle,2013,28.3
Carlisle,2014,27.6
Carlisle,2015,25.2
Carlisle,2016,25.3
Carlisle,2017,22.4
Carlisle,2018,23.7
Carroll,1997,25
Carroll,1998,25
Carroll,1999,20.9
Carroll,2000,20.6
Carroll,2001,20.3
Carroll,2002,19.6
Carroll,2003,19.3
Carroll,2004,20.6
Carroll,2005,21
Carroll,2006,23.1
Carroll,2007,22.7
Carroll,2008,21.9
Carroll,2009,25.3
Carroll,2010,36.8
Carroll,2011,29.7
Carroll,2012,33.4
Carroll,2013,31.6
Carroll,2014,28.2
Carroll,2015,28.7
Carroll,2016,32.3
Carroll,2017,31.3
Carroll,2018,24.8
Carter,1997,34.6
Carter,1998,29.5
Carter,1999,28.6
Carter,2000,29.6
Carter,2001,28.6
Carter,2002,31.6
Carter,2003,30
Carter,2004,31.2
Carter,2005,31
Carter,2006,33.1
Carter,2007,29.1
Carter,2008,29.9
Carter,2009,34.9
Carter,2010,34.4
Carter,2011,33.3
Carter,2012,34.2
Carter,2013,31.4
Carter,2014,32.6
Carter,2015,29.4
Carter,2016,31.6
Carter,2017,33.9
Carter,2018,33.4
Casey,1997,32.6
Casey,1998,30.5
Casey,1999,28.6
Casey,2000,32.3
Casey,2001,31.5
Casey,2002,33.1
Casey,2003,32.7
Casey,2004,32.6
Casey,2005,37
Casey,2006,38.9
Casey,2007,36
Casey,2008,37.2
Casey,2009,40.6
Casey,2010,40.8
Casey,2011,41.9
Casey,2012,40.1
Casey,2013,42.8
Casey,2014,42.6
Casey,2015,38.2
Casey,2016,36.6
Casey,2017,33.2
Casey,2018,38.5
Christian,1997,24.7
Christian,1998,25
Christian,1999,20.3
Christian,2000,19.5
Christian,2001,23.2
Christian,2002,24
Christian,2003,20.1
Christian,2004,23.2
Christian,2005,23
Christian,2006,27.4
Christian,2007,27.4
Christian,2008,29
Christian,2009,25.4
Christian,2010,29
Christian,2011,34.4
Christian,2012,32.2
Christian,2013,26.3
Christian,2014,30.4
Christian,2015,28.9
Christian,2016,27
Christian,2017,27.4
Christian,2018,26.3
Clark,1997,20.5
Clark,1998,20.3
Clark,1999,17.8
Clark,2000,15
Clark,2001,17.1
Clark,2002,19.1
Clark,2003,19.3
Clark,2004,19.5
Clark,2005,19
Clark,2006,20.4
Clark,2007,21.8
Clark,2008,21.4
Clark,2009,22.6
Clark,2010,26.2
Clark,2011,25.4
Clark,2012,22.8
Clark,2013,25.7
Clark,2014,25.3
Clark,2015,23.9
Clark,2016,24.8
Clark,2017,20
Clark,2018,24.8
Clay,1997,43.8
Clay,1998,33.5
Clay,1999,38.3
Clay,2000,47.8
Clay,2001,38.9
Clay,2002,40.6
Clay,2003,41.6
Clay,2004,43.6
Clay,2005,50
Clay,2006,46.1
Clay,2007,50
Clay,2008,48.8
Clay,2009,54.8
Clay,2010,48.9
Clay,2011,47.1
Clay,2012,52.2
Clay,2013,52.5
Clay,2014,46.8
Clay,2015,53
Clay,2016,52.4
Clay,2017,55.7
Clay,2018,47.2
Clinton,1997,42.5
Clinton,1998,37.4
Clinton,1999,32.6
Clinton,2000,31.9
Clinton,2001,32.4
Clinton,2002,33.2
Clinton,2003,32.5
Clinton,2004,32.6
Clinton,2005,37
Clinton,2006,40.5
Clinton,2007,36.8
Clinton,2008,38.3
Clinton,2009,39.4
Clinton,2010,37.5
Clinton,2011,39
Clinton,2012,39.5
Clinton,2013,41.2
Clinton,2014,37.5
Clinton,2015,39.6
Clinton,2016,36.7
Clinton,2017,35.4
Clinton,2018,37.5
Crittenden,1997,25.8
Crittenden,1998,21.8
Crittenden,1999,24
Crittenden,2000,30.8
Crittenden,2001,26.9
Crittenden,2002,24.9
Crittenden,2003,27.2
Crittenden,2004,26.6
Crittenden,2005,30
Crittenden,2006,29.8
Crittenden,2007,31.3
Crittenden,2008,29.7
Crittenden,2009,31
Crittenden,2010,31.9
Crittenden,2011,32.5
Crittenden,2012,34.3
Crittenden,2013,34.1
Crittenden,2014,31.2
Crittenden,2015,31.3
Crittenden,2016,29.2
Crittenden,2017,28.6
Crittenden,2018,28.7
Cumberland,1997,40.4
Cumberland,1998,36.4
Cumberland,1999,30.2
Cumberland,2000,30.5
Cumberland,2001,30.9
Cumberland,2002,30.3
Cumberland,2003,31.1
Cumberland,2004,30.7
Cumberland,2005,34
Cumberland,2006,38.9
Cumberland,2007,36
Cumberland,2008,36.1
Cumberland,2009,36.7
Cumberland,2010,39.5
Cumberland,2011,41
Cumberland,2012,42.1
Cumberland,2013,40.3
Cumberland,2014,37.8
Cumberland,2015,36.2
Cumberland,2016,38.1
Cumberland,2017,33
Cumberland,2018,33.1
Daviess,1997,18.8
Daviess,1998,18.7
Daviess,1999,17.1
Daviess,2000,16
Daviess,2001,16.3
Daviess,2002,18.1
Daviess,2003,18.2
Daviess,2004,18.9
Daviess,2005,19
Daviess,2006,19.4
Daviess,2007,22.8
Daviess,2008,17.9
Daviess,2009,21.9
Daviess,2010,24.6
Daviess,2011,24.1
Daviess,2012,23.2
Daviess,2013,21.4
Daviess,2014,21.5
Daviess,2015,20.9
Daviess,2016,19.9
Daviess,2017,21.7
Daviess,2018,19.2
Edmonson,1997,28.2
Edmonson,1998,25.7
Edmonson,1999,24.5
Edmonson,2000,25.6
Edmonson,2001,24.1
Edmonson,2002,24.4
Edmonson,2003,25.6
Edmonson,2004,25.7
Edmonson,2005,28
Edmonson,2006,28.4
Edmonson,2007,26.2
Edmonson,2008,29
Edmonson,2009,29.4
Edmonson,2010,30.1
Edmonson,2011,28
Edmonson,2012,28.3
Edmonson,2013,29.3
Edmonson,2014,28.4
Edmonson,2015,28.6
Edmonson,2016,30.7
Edmonson,2017,24.5
Edmonson,2018,22.1
Elliott,1997,39.4
Elliott,1998,35.5
Elliott,1999,32.3
Elliott,2000,30.8
Elliott,2001,31.8
Elliott,2002,33.4
Elliott,2003,32.3
Elliott,2004,34
Elliott,2005,40
Elliott,2006,38.3
Elliott,2007,37.9
Elliott,2008,40.6
Elliott,2009,38.8
Elliott,2010,36
Elliott,2011,38.4
Elliott,2012,39
Elliott,2013,38.1
Elliott,2014,40.2
Elliott,2015,40.3
Elliott,2016,37
Elliott,2017,35
Elliott,2018,29.1
Estill,1997,33.7
Estill,1998,31.1
Estill,1999,29.2
Estill,2000,33
Estill,2001,28.4
Estill,2002,31.7
Estill,2003,31.3
Estill,2004,32.8
Estill,2005,39
Estill,2006,35.8
Estill,2007,36.2
Estill,2008,36.3
Estill,2009,42.5
Estill,2010,42.2
Estill,2011,40.5
Estill,2012,39.7
Estill,2013,40.3
Estill,2014,38
Estill,2015,38.8
Estill,2016,39.1
Estill,2017,29.8
Estill,2018,33
Fayette,1997,16.9
Fayette,1998,16.8
Fayette,1999,15.7
Fayette,2000,14.7
Fayette,2001,15.5
Fayette,2002,17.2
Fayette,2003,17.7
Fayette,2004,18.2
Fayette,2005,17
Fayette,2006,18.5
Fayette,2007,19.5
Fayette,2008,19.2
Fayette,2009,19.9
Fayette,2010,23.9
Fayette,2011,21.2
Fayette,2012,20.2
Fayette,2013,21.8
Fayette,2014,23.7
Fayette,2015,22.6
Fayette,2016,22.3
Fayette,2017,17.1
Fayette,2018,17.3
Fleming,1997,28.8
Fleming,1998,25.7
Fleming,1999,24.8
Fleming,2000,25.2
Fleming,2001,25.5
Fleming,2002,25.4
Fleming,2003,25.3
Fleming,2004,25.6
Fleming,2005,28
Fleming,2006,28.1
Fleming,2007,27.3
Fleming,2008,27.7
Fleming,2009,31.3
Fleming,2010,30.8
Fleming,2011,32
Fleming,2012,31.3
Fleming,2013,32.1
Fleming,2014,30.2
Fleming,2015,31.8
Fleming,2016,33.8
Fleming,2017,25.4
Fleming,2018,29.1
Floyd,1997,37.2
Floyd,1998,31
Floyd,1999,33.4
Floyd,2000,40.1
Floyd,2001,33.7
Floyd,2002,35.9
Floyd,2003,34.8
Floyd,2004,35.7
Floyd,2005,39
Floyd,2006,41.1
Floyd,2007,44.4
Floyd,2008,38.7
Floyd,2009,40.8
Floyd,2010,43.5
Floyd,2011,37.5
Floyd,2012,43.9
Floyd,2013,37.9
Floyd,2014,44.3
Floyd,2015,43.1
Floyd,2016,38.4
Floyd,2017,39
Floyd,2018,44.3
Franklin,1997,17.1
Franklin,1998,15.8
Franklin,1999,15.3
Franklin,2000,12.8
Franklin,2001,14
Franklin,2002,15
Franklin,2003,15.7
Franklin,2004,17
Franklin,2005,17
Franklin,2006,16.6
Franklin,2007,17.8
Franklin,2008,18.1
Franklin,2009,21.1
Franklin,2010,23
Franklin,2011,22.4
Franklin,2012,24
Franklin,2013,24.2
Franklin,2014,21.3
Franklin,2015,22.5
Franklin,2016,20.9
Franklin,2017,19.2
Franklin,2018,18.8
Fulton,1997,38
Fulton,1998,34.3
Fulton,1999,30
Fulton,2000,32.5
Fulton,2001,31.5
Fulton,2002,31.7
Fulton,2003,32.6
Fulton,2004,33.2
Fulton,2005,38
Fulton,2006,39.3
Fulton,2007,42.8
Fulton,2008,44.7
Fulton,2009,44.4
Fulton,2010,41.5
Fulton,2011,44.7
Fulton,2012,43.9
Fulton,2013,45.6
Fulton,2014,44.9
Fulton,2015,47.6
Fulton,2016,46.7
Fulton,2017,42.8
Fulton,2018,46.1
Gallatin,1997,23.6
Gallatin,1998,16.4
Gallatin,1999,20
Gallatin,2000,17.1
Gallatin,2001,18.1
Gallatin,2002,18.5
Gallatin,2003,19.9
Gallatin,2004,21.2
Gallatin,2005,25
Gallatin,2006,24.3
Gallatin,2007,24.5
Gallatin,2008,24.2
Gallatin,2009,27.7
Gallatin,2010,25.3
Gallatin,2011,28.1
Gallatin,2012,27.5
Gallatin,2013,24.5
Gallatin,2014,25.5
Gallatin,2015,23.8
Gallatin,2016,23.9
Gallatin,2017,21.8
Gallatin,2018,23.6
Garrard,1997,22.9
Garrard,1998,22.6
Garrard,1999,20.1
Garrard,2000,19.7
Garrard,2001,20.3
Garrard,2002,20.9
Garrard,2003,21.1
Garrard,2004,20.8
Garrard,2005,22
Garrard,2006,22.1
