DIST_NAME,COUNTY_NAME
Adair County,Adair
Allen County,Allen
Anchorage Independent,Jefferson
Anderson County,Anderson
Ashland Independent,Boyd
Augusta Independent,Bracken
Ballard County,Ballard
Barbourville Independent,Knox
Bardstown Independent,Nelson
Barren County,Barren
Bath County,Bath
Beechwood Independent,Kenton
Bell County,Bell
Bellevue Independent,Campbell
Berea Independent,Madison
Boone County,Boone
Bourbon County,Bourbon
Bowling Green Independent,Warren
Boyd County,Boyd
Boyle County,Boyle
Bracken County,Bracken
Breathitt County,Breathitt
Breckinridge County,Breckinridge
Bullitt County,Bullitt
Burgin Independent,Mercer
Butler County,Butler
Caldwell County,Caldwell
Calloway County,Calloway
Campbell County,Campbell
Campbellsville Independent,Taylor
Carlisle County,Carlisle
Carroll County,Carroll
Carter County,Carter
Casey County,Casey
Caverna Independent,Barren
Christian County,Christian
Clark County,Clark
Clay County,Clay
Clinton County,Clinton
Cloverport Independent,Breckinridge
Corbin Independent,Whitley
Covington Independent,Kenton
Crittenden County,Crittenden
Cumberland County,Cumberland
Danville Independent,Boyle
Daviess County,Daviess
Dawson Springs Independent,Hopkins
Dayton Independent,Campbell
East Bernstadt Independent,Laurel
Edmonson County,Edmonson
Elizabethtown Independent,Hardin
Elliott County,Elliott
Eminence Independent,Henry
Erlanger-Elsmere Independent,Kenton
Estill County,Estill
Fairview Independent,Boyd
Fayette County,Fayette
Fleming County,Fleming
Floyd County,Floyd
Fort Thomas Independent,Campbell
Frankfort Independent,Franklin
Franklin County,Franklin
Fulton County,Fulton
Fulton Independent,Fulton
Gallatin County,Gallatin
Garrard County,Garrard
Glasgow Independent,Barren
Grant County,Grant
Graves County,Graves
Grayson County,Grayson
Green County,Green
Greenup County,Greenup
Hancock County,Hancock
Hardin County,Hardin
Harlan County,Harlan
Harlan Independent,Harlan
Harrison County,Harrison
Hart County,Hart
Hazard Independent,Perry
Henderson County,Henderson
Henry County,Henry
Hickman County,Hickman
Hopkins County,Hopkins
Jackson County,Jackson
Jackson Independent,Breathitt
Jefferson County,Jefferson
Jenkins Independent,Letcher
Jessamine County,Jessamine
Johnson County,Johnson
Kenton County,Kenton
Kentucky School for the Blind,Jefferson
Kentucky School for the Deaf,Boyle
Kentucky Tech System,Franklin
Knott County,Knott
Knox County,Knox
LaRue County,Larue
Laurel County,Laurel
Lawrence County,Lawrence
Lee County,Lee
Leslie County,Leslie
Letcher County,Letcher
Lewis County,Lewis
Lincoln County,Lincoln
Livingston County,Livingston
Logan County,Logan
Ludlow Independent,Kenton
Lyon County,Lyon
Madison County,Madison
Magoffin County,Magoffin
Marion County,Marion
Marshall County,Marshall
Martin County,Martin
Mason County,Mason
Mayfield Independent,Graves
McCracken County,McCracken
McCreary County,McCreary
McLean County,McLean
Meade County,Meade
Menifee County,Menifee
Mercer County,Mercer
Metcalfe County,Metcalfe
Middlesboro Independent,Bell
Monroe County,Monroe
Monticello Independent,Wayne
Montgomery County,Montgomery
Morgan County,Morgan
Muhlenberg County,Muhlenberg
Murray Independent,Calloway
Nelson County,Nelson
Newport Independent,Kenton
Nicholas County,Nicholas
Ohio County,Ohio
Oldham County,Oldham
Owen County,Owen
Owensboro Independent,Daviess
Owsley County,Owsley
Paducah Independent,McCracken
Paintsville Independent,Johnson
Paris Independent,Bourbon
Pendleton County,Pendleton
Perry County,Perry
Pike County,Pike
Pikeville Independent,Pike
Pineville Independent,Bell
Powell County,Powell
Pulaski County,Pulaski
Raceland-Worthington Independent,Greenup
Robertson County,Robertson
Rockcastle County,Rockcastle
Rowan County,Rowan
Russell County,Russell
Russell Independent,Greenup
Russellville Independent,Logan
Science Hill Independent,Pulaski
Scott County,Scott
Shelby County,Shelby
Silver Grove Independent,Campbell
Simpson County,Simpson
Somerset Independent,Pulaski
Southgate Independent,Campbell
Spencer County,Spencer
Taylor County,Taylor
Todd County,Todd
Trigg County,Trigg
Trimble County,Trimble
Union County,Union
Walton-Verona Independent,Boone
Warren County,Warren
Washington County,Washington
Wayne County,Wayne
Webster County,Webster
West Point Independent,Hardin
Whitley County,Whitley
Williamsburg Independent,Whitley
Williamstown Independent,Grant
Wolfe County,Wolfe
Woodford County,Woodford
Craft Academy,Rowan