Location,TimeFrame,LOW_BIRTH_WEIGHT_PCT
Adair,2008-2010,0.074
Adair,2009-2011,0.081
Adair,2010-2012,0.081
Adair,2011-2013,0.073
Adair,2012-2014,0.081
Adair,2013-2015,0.078
Adair,2014-2016,0.09531
Adair,2015-2017,0.088
Adair,2016-2018,0.088
Allen,2008-2010,0.075
Allen,2009-2011,0.092
Allen,2010-2012,0.084
Allen,2011-2013,0.093
Allen,2012-2014,0.094
Allen,2013-2015,0.112
Allen,2014-2016,0.11421
Allen,2015-2017,0.108
Allen,2016-2018,0.102
Anderson,2008-2010,0.096
Anderson,2009-2011,0.107
Anderson,2010-2012,0.102
Anderson,2011-2013,0.087
Anderson,2012-2014,0.073
Anderson,2013-2015,0.075
Anderson,2014-2016,0.07015
Anderson,2015-2017,0.08
Anderson,2016-2018,0.092
Ballard,2008-2010,0.152
Ballard,2009-2011,0.091
Ballard,2010-2012,0.073
Ballard,2011-2013,0.086
Ballard,2012-2014,0.086
Ballard,2013-2015,0.104
Ballard,2014-2016,0.08197
Ballard,2015-2017,0.068
Ballard,2016-2018,0.085
Barren,2008-2010,0.087
Barren,2009-2011,0.072
Barren,2010-2012,0.075
Barren,2011-2013,0.073
Barren,2012-2014,0.076
Barren,2013-2015,0.086
Barren,2014-2016,0.07759
Barren,2015-2017,0.081
Barren,2016-2018,0.075
Bath,2008-2010,0.106
Bath,2009-2011,0.111
Bath,2010-2012,0.104
Bath,2011-2013,0.09
Bath,2012-2014,0.079
Bath,2013-2015,0.087
Bath,2014-2016,0.08967
Bath,2015-2017,0.089
Bath,2016-2018,0.069
Bell,2008-2010,0.1
Bell,2009-2011,0.103
Bell,2010-2012,0.104
Bell,2011-2013,0.099
Bell,2012-2014,0.098
Bell,2013-2015,0.102
Bell,2014-2016,0.1049
Bell,2015-2017,0.1
Bell,2016-2018,0.11
Boone,2008-2010,0.074
Boone,2009-2011,0.071
Boone,2010-2012,0.072
Boone,2011-2013,0.078
Boone,2012-2014,0.072
Boone,2013-2015,0.072
Boone,2014-2016,0.0694
Boone,2015-2017,0.07
Boone,2016-2018,0.07
Bourbon,2008-2010,0.09
Bourbon,2009-2011,0.106
Bourbon,2010-2012,0.105
Bourbon,2011-2013,0.096
Bourbon,2012-2014,0.093
Bourbon,2013-2015,0.082
Bourbon,2014-2016,0.08309
Bourbon,2015-2017,0.076
Bourbon,2016-2018,0.08
Boyd,2008-2010,0.108
Boyd,2009-2011,0.111
Boyd,2010-2012,0.104
Boyd,2011-2013,0.105
Boyd,2012-2014,0.103
Boyd,2013-2015,0.104
Boyd,2014-2016,0.10005
Boyd,2015-2017,0.095
Boyd,2016-2018,0.104
Boyle,2008-2010,0.079
Boyle,2009-2011,0.077
Boyle,2010-2012,0.08
Boyle,2011-2013,0.09
Boyle,2012-2014,0.087
Boyle,2013-2015,0.083
Boyle,2014-2016,0.07716
Boyle,2015-2017,0.081
Boyle,2016-2018,0.089
Bracken,2008-2010,0.084
Bracken,2009-2011,0.113
Bracken,2010-2012,0.118
Bracken,2011-2013,0.121
Bracken,2012-2014,0.082
Bracken,2013-2015,0.099
Bracken,2014-2016,0.08754
Bracken,2015-2017,0.103
Bracken,2016-2018,0.101
Breathitt,2008-2010,0.107
Breathitt,2009-2011,0.093
Breathitt,2010-2012,0.093
Breathitt,2011-2013,0.101
Breathitt,2012-2014,0.11
Breathitt,2013-2015,0.119
Breathitt,2014-2016,0.10548
Breathitt,2015-2017,0.108
Breathitt,2016-2018,0.115
Breckinridge,2008-2010,0.075
Breckinridge,2009-2011,0.082
Breckinridge,2010-2012,0.107
Breckinridge,2011-2013,0.093
Breckinridge,2012-2014,0.096
Breckinridge,2013-2015,0.074
Breckinridge,2014-2016,0.08146
Breckinridge,2015-2017,0.077
Breckinridge,2016-2018,0.086
Bullitt,2008-2010,0.08
Bullitt,2009-2011,0.082
Bullitt,2010-2012,0.083
Bullitt,2011-2013,0.08
Bullitt,2012-2014,0.076
Bullitt,2013-2015,0.07
Bullitt,2014-2016,0.07228
Bullitt,2015-2017,0.079
Bullitt,2016-2018,0.085
Butler,2008-2010,0.12
Butler,2009-2011,0.13
Butler,2010-2012,0.125
Butler,2011-2013,0.096
Butler,2012-2014,0.081
Butler,2013-2015,0.078
Butler,2014-2016,0.06926
Butler,2015-2017,0.067
Butler,2016-2018,0.059
Caldwell,2008-2010,0.094
Caldwell,2009-2011,0.098
Caldwell,2010-2012,0.091
Caldwell,2011-2013,0.078
Caldwell,2012-2014,0.079
Caldwell,2013-2015,0.086
Caldwell,2014-2016,0.09174
Caldwell,2015-2017,0.091
Caldwell,2016-2018,0.077
Calloway,2008-2010,0.078
Calloway,2009-2011,0.071
Calloway,2010-2012,0.077
Calloway,2011-2013,0.068
Calloway,2012-2014,0.073
Calloway,2013-2015,0.066
Calloway,2014-2016,0.0674
Calloway,2015-2017,0.069
Calloway,2016-2018,0.069
Campbell,2008-2010,0.084
Campbell,2009-2011,0.095
Campbell,2010-2012,0.091
Campbell,2011-2013,0.092
Campbell,2012-2014,0.082
Campbell,2013-2015,0.084
Campbell,2014-2016,0.08237
Campbell,2015-2017,0.078
Campbell,2016-2018,0.077
Carlisle,2008-2010,0.057
Carlisle,2009-2011,0.056
Carlisle,2010-2012,0.065
Carlisle,2011-2013,0.08
Carlisle,2012-2014,0.05
Carlisle,2013-2015,0.056
Carlisle,2014-2016,0.0553
Carlisle,2015-2017,0.067
Carlisle,2016-2018,0.056
Carroll,2008-2010,0.071
Carroll,2009-2011,0.08
Carroll,2010-2012,0.087
Carroll,2011-2013,0.082
Carroll,2012-2014,0.075
Carroll,2013-2015,0.073
Carroll,2014-2016,0.07911
Carroll,2015-2017,0.092
Carroll,2016-2018,0.096
Carter,2008-2010,0.098
Carter,2009-2011,0.104
Carter,2010-2012,0.097
Carter,2011-2013,0.105
Carter,2012-2014,0.09
Carter,2013-2015,0.085
Carter,2014-2016,0.07726
Carter,2015-2017,0.081
Carter,2016-2018,0.087
Casey,2008-2010,0.07
Casey,2009-2011,0.087
Casey,2010-2012,0.097
Casey,2011-2013,0.099
Casey,2012-2014,0.088
Casey,2013-2015,0.091
Casey,2014-2016,0.08581
Casey,2015-2017,0.085
Casey,2016-2018,0.073
Christian,2008-2010,0.09
Christian,2009-2011,0.089
Christian,2010-2012,0.094
Christian,2011-2013,0.097
Christian,2012-2014,0.094
Christian,2013-2015,0.092
Christian,2014-2016,0.09306
Christian,2015-2017,0.097
Christian,2016-2018,0.09
Clark,2008-2010,0.097
Clark,2009-2011,0.101
Clark,2010-2012,0.101
Clark,2011-2013,0.09
Clark,2012-2014,0.092
Clark,2013-2015,0.091
Clark,2014-2016,0.09734
Clark,2015-2017,0.092
Clark,2016-2018,0.086
Clay,2008-2010,0.108
Clay,2009-2011,0.118
Clay,2010-2012,0.129
Clay,2011-2013,0.13
Clay,2012-2014,0.136
Clay,2013-2015,0.122
Clay,2014-2016,0.1093
Clay,2015-2017,0.093
Clay,2016-2018,0.106
Clinton,2008-2010,0.112
Clinton,2009-2011,0.106
Clinton,2010-2012,0.111
Clinton,2011-2013,0.076
Clinton,2012-2014,0.088
Clinton,2013-2015,0.087
Clinton,2014-2016,0.09167
Clinton,2015-2017,0.079
Clinton,2016-2018,0.098
Crittenden,2008-2010,0.1
Crittenden,2009-2011,0.088
Crittenden,2010-2012,0.068
Crittenden,2011-2013,0.076
Crittenden,2012-2014,0.089
Crittenden,2013-2015,0.093
Crittenden,2014-2016,0.08117
Crittenden,2015-2017,0.061
Crittenden,2016-2018,0.084
Cumberland,2008-2010,0.106
Cumberland,2009-2011,0.104
Cumberland,2010-2012,0.082
Cumberland,2011-2013,0.073
Cumberland,2012-2014,0.059
Cumberland,2013-2015,0.083
Cumberland,2014-2016,0.07826
Cumberland,2015-2017,0.083
Cumberland,2016-2018,0.084
Daviess,2008-2010,0.085
Daviess,2009-2011,0.08
Daviess,2010-2012,0.08
Daviess,2011-2013,0.077
Daviess,2012-2014,0.08
Daviess,2013-2015,0.073
Daviess,2014-2016,0.07512
Daviess,2015-2017,0.078
Daviess,2016-2018,0.081
Edmonson,2008-2010,0.09
Edmonson,2009-2011,0.079
Edmonson,2010-2012,0.08
Edmonson,2011-2013,0.07
Edmonson,2012-2014,0.074
Edmonson,2013-2015,0.065
Edmonson,2014-2016,0.07331
Edmonson,2015-2017,0.074
Edmonson,2016-2018,0.07
Elliott,2008-2010,0.119
Elliott,2009-2011,0.138
Elliott,2010-2012,0.124
Elliott,2011-2013,0.109
Elliott,2012-2014,0.093
Elliott,2013-2015,0.104
Elliott,2014-2016,0.10044
Elliott,2015-2017,0.099
Elliott,2016-2018,0.115
Estill,2008-2010,0.086
Estill,2009-2011,0.091
Estill,2010-2012,0.088
Estill,2011-2013,0.099
Estill,2012-2014,0.085
Estill,2013-2015,0.091
Estill,2014-2016,0.06987
Estill,2015-2017,0.079
Estill,2016-2018,0.09
Fayette,2008-2010,0.086
Fayette,2009-2011,0.089
Fayette,2010-2012,0.086
Fayette,2011-2013,0.084
Fayette,2012-2014,0.084
Fayette,2013-2015,0.083
Fayette,2014-2016,0.0852
Fayette,2015-2017,0.083
Fayette,2016-2018,0.088
Fleming,2008-2010,0.08
Fleming,2009-2011,0.087
Fleming,2010-2012,0.096
Fleming,2011-2013,0.092
Fleming,2012-2014,0.107
Fleming,2013-2015,0.082
Fleming,2014-2016,0.07231
Fleming,2015-2017,0.055
Fleming,2016-2018,0.068
Floyd,2008-2010,0.115
Floyd,2009-2011,0.123
Floyd,2010-2012,0.115
Floyd,2011-2013,0.113
Floyd,2012-2014,0.103
Floyd,2013-2015,0.105
Floyd,2014-2016,0.09971
Floyd,2015-2017,0.102
Floyd,2016-2018,0.109
Franklin,2008-2010,0.112
Franklin,2009-2011,0.109
Franklin,2010-2012,0.102
Franklin,2011-2013,0.101
Franklin,2012-2014,0.1
Franklin,2013-2015,0.098
Franklin,2014-2016,0.09538
Franklin,2015-2017,0.094
Franklin,2016-2018,0.1
Fulton,2008-2010,0.114
Fulton,2009-2011,0.096
Fulton,2010-2012,0.088
Fulton,2011-2013,0.103
Fulton,2012-2014,0.111
Fulton,2013-2015,0.099
Fulton,2014-2016,0.10549
Fulton,2015-2017,0.105
Fulton,2016-2018,0.105
Gallatin,2008-2010,0.094
Gallatin,2009-2011,0.122
Gallatin,2010-2012,0.095
Gallatin,2011-2013,0.104
Gallatin,2012-2014,0.089
Gallatin,2013-2015,0.098
Gallatin,2014-2016,0.09009
Gallatin,2015-2017,0.082
Gallatin,2016-2018,0.094
Garrard,2008-2010,0.122
Garrard,2009-2011,0.112
Garrard,2010-2012,0.102
Garrard,2011-2013,0.108
Garrard,2012-2014,0.1
Garrard,2013-2015,0.1
Garrard,2014-2016,0.09773
Garrard,2015-2017,0.097
Garrard,2016-2018,0.098
Grant,2008-2010,0.095
Grant,2009-2011,0.093
Grant,2010-2012,0.083
Grant,2011-2013,0.072
Grant,2012-2014,0.07
Grant,2013-2015,0.081
Grant,2014-2016,0.0788
Grant,2015-2017,0.094
Grant,2016-2018,0.094
Graves,2008-2010,0.081
Graves,2009-2011,0.076
Graves,2010-2012,0.067
Graves,2011-2013,0.066
Graves,2012-2014,0.067
Graves,2013-2015,0.067
Graves,2014-2016,0.07283
Graves,2015-2017,0.076
Graves,2016-2018,0.084
Grayson,2008-2010,0.076
Grayson,2009-2011,0.075
Grayson,2010-2012,0.078
Grayson,2011-2013,0.086
Grayson,2012-2014,0.081
Grayson,2013-2015,0.09
Grayson,2014-2016,0.09201
Grayson,2015-2017,0.092
Grayson,2016-2018,0.078
Green,2008-2010,0.07
Green,2009-2011,0.075
Green,2010-2012,0.078
Green,2011-2013,0.079
Green,2012-2014,0.081
Green,2013-2015,0.078
Green,2014-2016,0.08857
Green,2015-2017,0.08
Green,2016-2018,0.085
Greenup,2008-2010,0.085
Greenup,2009-2011,0.083
Greenup,2010-2012,0.09
Greenup,2011-2013,0.095
Greenup,2012-2014,0.095
Greenup,2013-2015,0.083
Greenup,2014-2016,0.07018
Greenup,2015-2017,0.075
Greenup,2016-2018,0.088
Hancock,2008-2010,0.093
Hancock,2009-2011,0.08
Hancock,2010-2012,0.081
Hancock,2011-2013,0.073
Hancock,2012-2014,0.076
Hancock,2013-2015,0.076
Hancock,2014-2016,0.07629
Hancock,2015-2017,0.07
Hancock,2016-2018,0.07
Hardin,2008-2010,0.07
Hardin,2009-2011,0.073
Hardin,2010-2012,0.075
Hardin,2011-2013,0.076
Hardin,2012-2014,0.07
Hardin,2013-2015,0.075
Hardin,2014-2016,0.08048
Hardin,2015-2017,0.082
Hardin,2016-2018,0.079
Harlan,2008-2010,0.124
Harlan,2009-2011,0.113
Harlan,2010-2012,0.113
Harlan,2011-2013,0.113
Harlan,2012-2014,0.1
Harlan,2013-2015,0.108
Harlan,2014-2016,0.10009
Harlan,2015-2017,0.114
Harlan,2016-2018,0.107
Harrison,2008-2010,0.107
Harrison,2009-2011,0.111
Harrison,2010-2012,0.105
Harrison,2011-2013,0.103
Harrison,2012-2014,0.085
Harrison,2013-2015,0.074
Harrison,2014-2016,0.07576
Harrison,2015-2017,0.08
Harrison,2016-2018,0.082
Hart,2008-2010,0.086
Hart,2009-2011,0.092
Hart,2010-2012,0.084
Hart,2011-2013,0.088
Hart,2012-2014,0.076
Hart,2013-2015,0.074
Hart,2014-2016,0.08323
Hart,2015-2017,0.083
Hart,2016-2018,0.082
Henderson,2008-2010,0.104
Henderson,2009-2011,0.104
Henderson,2010-2012,0.093
Henderson,2011-2013,0.094
Henderson,2012-2014,0.092
Henderson,2013-2015,0.102
Henderson,2014-2016,0.11043
Henderson,2015-2017,0.11
Henderson,2016-2018,0.114
Henry,2008-2010,0.063
Henry,2009-2011,0.075
Henry,2010-2012,0.066
Henry,2011-2013,0.079
Henry,2012-2014,0.062
Henry,2013-2015,0.077
Henry,2014-2016,0.07782
Henry,2015-2017,0.094
Henry,2016-2018,0.093
Hickman,2008-2010,0.081
Hickman,2009-2011,0.088
Hickman,2010-2012,0.084
Hickman,2011-2013,0.075
Hickman,2012-2014,0.068
Hickman,2013-2015,0.082
Hickman,2014-2016,0.07576
Hickman,2015-2017,0.09
Hickman,2016-2018,0.083
Hopkins,2008-2010,0.097
Hopkins,2009-2011,0.093
Hopkins,2010-2012,0.085
Hopkins,2011-2013,0.086
Hopkins,2012-2014,0.085
Hopkins,2013-2015,0.085
Hopkins,2014-2016,0.08561
Hopkins,2015-2017,0.081
Hopkins,2016-2018,0.078
Jackson,2008-2010,0.101
Jackson,2009-2011,0.099
Jackson,2010-2012,0.101
Jackson,2011-2013,0.095
Jackson,2012-2014,0.101
Jackson,2013-2015,0.113
Jackson,2014-2016,0.10212
Jackson,2015-2017,0.101
Jackson,2016-2018,0.085
Jefferson,2008-2010,0.094
Jefferson,2009-2011,0.092
Jefferson,2010-2012,0.091
Jefferson,2011-2013,0.09
Jefferson,2012-2014,0.09
Jefferson,2013-2015,0.09
Jefferson,2014-2016,0.09306
Jefferson,2015-2017,0.093
Jefferson,2016-2018,0.094
Jessamine,2008-2010,0.078
Jessamine,2009-2011,0.079
Jessamine,2010-2012,0.067
Jessamine,2011-2013,0.065
Jessamine,2012-2014,0.076
Jessamine,2013-2015,0.085
Jessamine,2014-2016,0.09258
Jessamine,2015-2017,0.094
Jessamine,2016-2018,0.094
Johnson,2008-2010,0.114
Johnson,2009-2011,0.114
Johnson,2010-2012,0.11
Johnson,2011-2013,0.105
Johnson,2012-2014,0.107
Johnson,2013-2015,0.106
Johnson,2014-2016,0.09824
Johnson,2015-2017,0.096
Johnson,2016-2018,0.09
Kenton,2008-2010,0.085
Kenton,2009-2011,0.08
Kenton,2010-2012,0.081
Kenton,2011-2013,0.081
Kenton,2012-2014,0.087
Kenton,2013-2015,0.086
Kenton,2014-2016,0.08834
Kenton,2015-2017,0.091
Kenton,2016-2018,0.086
Knott,2008-2010,0.121
Knott,2009-2011,0.089
Knott,2010-2012,0.104
Knott,2011-2013,0.108
