Location,TimeFrame,SMOKING_MOM_PCT
Adair,2008-2010,0.303
Adair,2009-2011,0.262
Adair,2010-2012,0.237
Adair,2011-2013,0.234
Adair,2012-2014,0.237
Adair,2013-2015,0.259
Adair,2014-2016,0.256
Adair,2015-2017,0.298
Adair,2016-2018,0.267
Allen,2008-2010,0.261
Allen,2009-2011,0.227
Allen,2010-2012,0.233
Allen,2011-2013,0.224
Allen,2012-2014,0.247
Allen,2013-2015,0.233
Allen,2014-2016,0.239
Allen,2015-2017,0.216
Allen,2016-2018,0.198
Anderson,2008-2010,0.254
Anderson,2009-2011,0.234
Anderson,2010-2012,0.229
Anderson,2011-2013,0.212
Anderson,2012-2014,0.228
Anderson,2013-2015,0.202
Anderson,2014-2016,0.205
Anderson,2015-2017,0.191
Anderson,2016-2018,0.204
Ballard,2008-2010,0.237
Ballard,2009-2011,0.22
Ballard,2010-2012,0.215
Ballard,2011-2013,0.199
Ballard,2012-2014,0.149
Ballard,2013-2015,0.136
Ballard,2014-2016,0.141
Ballard,2015-2017,0.181
Ballard,2016-2018,0.222
Barren,2008-2010,0.251
Barren,2009-2011,0.234
Barren,2010-2012,0.233
Barren,2011-2013,0.24
Barren,2012-2014,0.239
Barren,2013-2015,0.22
Barren,2014-2016,0.207
Barren,2015-2017,0.199
Barren,2016-2018,0.194
Bath,2008-2010,0.35
Bath,2009-2011,0.326
Bath,2010-2012,0.325
Bath,2011-2013,0.328
Bath,2012-2014,0.291
Bath,2013-2015,0.254
Bath,2014-2016,0.254
Bath,2015-2017,0.279
Bath,2016-2018,0.27
Bell,2008-2010,0.364
Bell,2009-2011,0.338
Bell,2010-2012,0.351
Bell,2011-2013,0.364
Bell,2012-2014,0.372
Bell,2013-2015,0.345
Bell,2014-2016,0.324
Bell,2015-2017,0.334
Bell,2016-2018,0.352
Boone,2008-2010,0.166
Boone,2009-2011,0.148
Boone,2010-2012,0.141
Boone,2011-2013,0.143
Boone,2012-2014,0.135
Boone,2013-2015,0.129
Boone,2014-2016,0.118
Boone,2015-2017,0.132
Boone,2016-2018,0.125
Bourbon,2008-2010,0.299
Bourbon,2009-2011,0.243
Bourbon,2010-2012,0.252
Bourbon,2011-2013,0.231
Bourbon,2012-2014,0.248
Bourbon,2013-2015,0.241
Bourbon,2014-2016,0.241
Bourbon,2015-2017,0.252
Bourbon,2016-2018,0.224
Boyd,2008-2010,0.304
Boyd,2009-2011,0.279
Boyd,2010-2012,0.281
Boyd,2011-2013,0.272
Boyd,2012-2014,0.273
Boyd,2013-2015,0.275
Boyd,2014-2016,0.267
Boyd,2015-2017,0.255
Boyd,2016-2018,0.239
Boyle,2008-2010,0.278
Boyle,2009-2011,0.237
Boyle,2010-2012,0.245
Boyle,2011-2013,0.26
Boyle,2012-2014,0.252
Boyle,2013-2015,0.248
Boyle,2014-2016,0.231
Boyle,2015-2017,0.226
Boyle,2016-2018,0.204
Bracken,2008-2010,0.348
Bracken,2009-2011,0.363
Bracken,2010-2012,0.29
Bracken,2011-2013,0.299
Bracken,2012-2014,0.29
Bracken,2013-2015,0.302
Bracken,2014-2016,0.283
Bracken,2015-2017,0.302
Bracken,2016-2018,0.283
Breathitt,2008-2010,0.418
Breathitt,2009-2011,0.404
Breathitt,2010-2012,0.386
Breathitt,2011-2013,0.371
Breathitt,2012-2014,0.346
Breathitt,2013-2015,0.337
Breathitt,2014-2016,0.328
Breathitt,2015-2017,0.349
Breathitt,2016-2018,0.352
Breckinridge,2008-2010,0.285
Breckinridge,2009-2011,0.257
Breckinridge,2010-2012,0.244
Breckinridge,2011-2013,0.233
Breckinridge,2012-2014,0.226
Breckinridge,2013-2015,0.223
Breckinridge,2014-2016,0.214
Breckinridge,2015-2017,0.222
Breckinridge,2016-2018,0.219
Bullitt,2008-2010,0.215
Bullitt,2009-2011,0.184
Bullitt,2010-2012,0.167
Bullitt,2011-2013,0.169
Bullitt,2012-2014,0.17
Bullitt,2013-2015,0.166
Bullitt,2014-2016,0.16
Bullitt,2015-2017,0.157
Bullitt,2016-2018,0.157
Butler,2008-2010,0.255
Butler,2009-2011,0.23
Butler,2010-2012,0.243
Butler,2011-2013,0.24
Butler,2012-2014,0.25
Butler,2013-2015,0.238
Butler,2014-2016,0.223
Butler,2015-2017,0.193
Butler,2016-2018,0.151
Caldwell,2008-2010,0.321
Caldwell,2009-2011,0.301
Caldwell,2010-2012,0.295
Caldwell,2011-2013,0.248
Caldwell,2012-2014,0.212
Caldwell,2013-2015,0.222
Caldwell,2014-2016,0.233
Caldwell,2015-2017,0.275
Caldwell,2016-2018,0.28
Calloway,2008-2010,0.21
Calloway,2009-2011,0.181
Calloway,2010-2012,0.179
Calloway,2011-2013,0.184
Calloway,2012-2014,0.162
Calloway,2013-2015,0.151
Calloway,2014-2016,0.136
Calloway,2015-2017,0.154
Calloway,2016-2018,0.155
Campbell,2008-2010,0.242
Campbell,2009-2011,0.22
Campbell,2010-2012,0.199
Campbell,2011-2013,0.194
Campbell,2012-2014,0.181
Campbell,2013-2015,0.175
Campbell,2014-2016,0.169
Campbell,2015-2017,0.186
Campbell,2016-2018,0.175
Carlisle,2008-2010,0.229
Carlisle,2009-2011,0.208
Carlisle,2010-2012,0.196
Carlisle,2011-2013,0.213
Carlisle,2012-2014,0.172
Carlisle,2013-2015,0.163
Carlisle,2014-2016,0.138
Carlisle,2015-2017,0.165
Carlisle,2016-2018,0.169
Carroll,2008-2010,0.313
Carroll,2009-2011,0.279
Carroll,2010-2012,0.291
Carroll,2011-2013,0.295
Carroll,2012-2014,0.298
Carroll,2013-2015,0.29
Carroll,2014-2016,0.283
Carroll,2015-2017,0.307
Carroll,2016-2018,0.292
Carter,2008-2010,0.327
Carter,2009-2011,0.29
Carter,2010-2012,0.287
Carter,2011-2013,0.296
Carter,2012-2014,0.299
Carter,2013-2015,0.298
Carter,2014-2016,0.276
Carter,2015-2017,0.288
Carter,2016-2018,0.271
Casey,2008-2010,0.309
Casey,2009-2011,0.281
Casey,2010-2012,0.304
Casey,2011-2013,0.302
Casey,2012-2014,0.292
Casey,2013-2015,0.272
Casey,2014-2016,0.253
Casey,2015-2017,0.243
Casey,2016-2018,0.224
Christian,2008-2010,0.21
Christian,2009-2011,0.183
Christian,2010-2012,0.169
Christian,2011-2013,0.151
Christian,2012-2014,0.138
Christian,2013-2015,0.136
Christian,2014-2016,0.135
Christian,2015-2017,0.15
Christian,2016-2018,0.137
Clark,2008-2010,0.284
Clark,2009-2011,0.28
Clark,2010-2012,0.286
Clark,2011-2013,0.272
Clark,2012-2014,0.266
Clark,2013-2015,0.236
Clark,2014-2016,0.237
Clark,2015-2017,0.225
Clark,2016-2018,0.211
Clay,2008-2010,0.425
Clay,2009-2011,0.399
Clay,2010-2012,0.392
Clay,2011-2013,0.4
Clay,2012-2014,0.407
Clay,2013-2015,0.407
Clay,2014-2016,0.395
Clay,2015-2017,0.374
Clay,2016-2018,0.366
Clinton,2008-2010,0.295
Clinton,2009-2011,0.276
Clinton,2010-2012,0.268
Clinton,2011-2013,0.261
Clinton,2012-2014,0.277
Clinton,2013-2015,0.286
Clinton,2014-2016,0.288
Clinton,2015-2017,0.265
Clinton,2016-2018,0.245
Crittenden,2008-2010,0.278
Crittenden,2009-2011,0.253
Crittenden,2010-2012,0.224
Crittenden,2011-2013,0.211
Crittenden,2012-2014,0.171
Crittenden,2013-2015,0.174
Crittenden,2014-2016,0.187
Crittenden,2015-2017,0.229
Crittenden,2016-2018,0.19
Cumberland,2008-2010,0.251
Cumberland,2009-2011,0.274
Cumberland,2010-2012,0.282
Cumberland,2011-2013,0.257
Cumberland,2012-2014,0.237
Cumberland,2013-2015,0.241
Cumberland,2014-2016,0.262
Cumberland,2015-2017,0.243
Cumberland,2016-2018,0.254
Daviess,2008-2010,0.237
Daviess,2009-2011,0.199
Daviess,2010-2012,0.192
Daviess,2011-2013,0.183
Daviess,2012-2014,0.182
Daviess,2013-2015,0.156
Daviess,2014-2016,0.134
Daviess,2015-2017,0.112
Daviess,2016-2018,0.096
Edmonson,2008-2010,0.305
Edmonson,2009-2011,0.262
Edmonson,2010-2012,0.226
Edmonson,2011-2013,0.206
Edmonson,2012-2014,0.242
Edmonson,2013-2015,0.249
Edmonson,2014-2016,0.253
Edmonson,2015-2017,0.235
Edmonson,2016-2018,0.213
Elliott,2008-2010,0.415
Elliott,2009-2011,0.394
Elliott,2010-2012,0.407
Elliott,2011-2013,0.384
Elliott,2012-2014,0.393
Elliott,2013-2015,0.377
Elliott,2014-2016,0.327
Elliott,2015-2017,0.316
Elliott,2016-2018,0.303
Estill,2008-2010,0.353
Estill,2009-2011,0.311
Estill,2010-2012,0.319
Estill,2011-2013,0.345
Estill,2012-2014,0.365
Estill,2013-2015,0.356
Estill,2014-2016,0.33
Estill,2015-2017,0.317
Estill,2016-2018,0.293
Fayette,2008-2010,0.141
Fayette,2009-2011,0.124
Fayette,2010-2012,0.117
Fayette,2011-2013,0.115
Fayette,2012-2014,0.11
Fayette,2013-2015,0.108
Fayette,2014-2016,0.099
Fayette,2015-2017,0.107
Fayette,2016-2018,0.098
Fleming,2008-2010,0.307
Fleming,2009-2011,0.275
Fleming,2010-2012,0.252
Fleming,2011-2013,0.247
Fleming,2012-2014,0.272
Fleming,2013-2015,0.28
Fleming,2014-2016,0.251
Fleming,2015-2017,0.213
Fleming,2016-2018,0.183
Floyd,2008-2010,0.36
Floyd,2009-2011,0.352
Floyd,2010-2012,0.359
Floyd,2011-2013,0.337
Floyd,2012-2014,0.31
Floyd,2013-2015,0.285
Floyd,2014-2016,0.283
Floyd,2015-2017,0.267
Floyd,2016-2018,0.27
Franklin,2008-2010,0.267
Franklin,2009-2011,0.218
Franklin,2010-2012,0.213
Franklin,2011-2013,0.202
Franklin,2012-2014,0.209
Franklin,2013-2015,0.194
Franklin,2014-2016,0.197
Franklin,2015-2017,0.215
Franklin,2016-2018,0.22
Fulton,2008-2010,0.278
Fulton,2009-2011,0.207
Fulton,2010-2012,0.216
Fulton,2011-2013,0.269
Fulton,2012-2014,0.276
Fulton,2013-2015,0.258
Fulton,2014-2016,0.237
Fulton,2015-2017,0.282
Fulton,2016-2018,0.277
Gallatin,2008-2010,0.344
Gallatin,2009-2011,0.311
Gallatin,2010-2012,0.284
Gallatin,2011-2013,0.282
Gallatin,2012-2014,0.287
Gallatin,2013-2015,0.287
Gallatin,2014-2016,0.284
Gallatin,2015-2017,0.306
Gallatin,2016-2018,0.296
Garrard,2008-2010,0.303
Garrard,2009-2011,0.269
Garrard,2010-2012,0.257
Garrard,2011-2013,0.263
Garrard,2012-2014,0.259
Garrard,2013-2015,0.264
Garrard,2014-2016,0.254
Garrard,2015-2017,0.264
Garrard,2016-2018,0.263
Grant,2008-2010,0.363
Grant,2009-2011,0.327
Grant,2010-2012,0.313
Grant,2011-2013,0.319
Grant,2012-2014,0.323
Grant,2013-2015,0.315
Grant,2014-2016,0.295
Grant,2015-2017,0.305
Grant,2016-2018,0.297
Graves,2008-2010,0.213
Graves,2009-2011,0.161
Graves,2010-2012,0.169
Graves,2011-2013,0.178
Graves,2012-2014,0.173
Graves,2013-2015,0.173
Graves,2014-2016,0.177
Graves,2015-2017,0.206
Graves,2016-2018,0.206
Grayson,2008-2010,0.342
Grayson,2009-2011,0.272
Grayson,2010-2012,0.246
Grayson,2011-2013,0.251
Grayson,2012-2014,0.268
Grayson,2013-2015,0.27
Grayson,2014-2016,0.254
Grayson,2015-2017,0.283
Grayson,2016-2018,0.294
Green,2008-2010,0.242
Green,2009-2011,0.221
Green,2010-2012,0.217
Green,2011-2013,0.237
Green,2012-2014,0.235
Green,2013-2015,0.225
Green,2014-2016,0.195
Green,2015-2017,0.184
Green,2016-2018,0.157
Greenup,2008-2010,0.272
Greenup,2009-2011,0.243
Greenup,2010-2012,0.235
Greenup,2011-2013,0.229
Greenup,2012-2014,0.213
Greenup,2013-2015,0.222
Greenup,2014-2016,0.217
Greenup,2015-2017,0.242
Greenup,2016-2018,0.211
Hancock,2008-2010,0.276
Hancock,2009-2011,0.23
Hancock,2010-2012,0.217
Hancock,2011-2013,0.181
Hancock,2012-2014,0.188
Hancock,2013-2015,0.15
Hancock,2014-2016,0.128
Hancock,2015-2017,0.107
Hancock,2016-2018,0.106
Hardin,2008-2010,0.202
Hardin,2009-2011,0.167
Hardin,2010-2012,0.156
Hardin,2011-2013,0.153
Hardin,2012-2014,0.154
Hardin,2013-2015,0.155
Hardin,2014-2016,0.154
Hardin,2015-2017,0.177
Hardin,2016-2018,0.172
Harlan,2008-2010,0.408
Harlan,2009-2011,0.398
Harlan,2010-2012,0.381
Harlan,2011-2013,0.379
Harlan,2012-2014,0.356
Harlan,2013-2015,0.351
Harlan,2014-2016,0.338
Harlan,2015-2017,0.349
Harlan,2016-2018,0.35
Harrison,2008-2010,0.354
Harrison,2009-2011,0.33
Harrison,2010-2012,0.324
Harrison,2011-2013,0.324
Harrison,2012-2014,0.319
Harrison,2013-2015,0.308
Harrison,2014-2016,0.294
Harrison,2015-2017,0.293
Harrison,2016-2018,0.29
Hart,2008-2010,0.23
Hart,2009-2011,0.204
Hart,2010-2012,0.198
Hart,2011-2013,0.196
Hart,2012-2014,0.195
Hart,2013-2015,0.198
Hart,2014-2016,0.181
Hart,2015-2017,0.183
Hart,2016-2018,0.16
Henderson,2008-2010,0.213
Henderson,2009-2011,0.199
Henderson,2010-2012,0.195
Henderson,2011-2013,0.214
Henderson,2012-2014,0.215
Henderson,2013-2015,0.211
Henderson,2014-2016,0.212
Henderson,2015-2017,0.207
Henderson,2016-2018,0.203
Henry,2008-2010,0.308
Henry,2009-2011,0.265
Henry,2010-2012,0.223
Henry,2011-2013,0.217
Henry,2012-2014,0.244
Henry,2013-2015,0.254
Henry,2014-2016,0.231
Henry,2015-2017,0.228
Henry,2016-2018,0.225
Hickman,2008-2010,0.287
Hickman,2009-2011,0.204
Hickman,2010-2012,0.221
Hickman,2011-2013,0.217
Hickman,2012-2014,0.212
Hickman,2013-2015,0.178
Hickman,2014-2016,0.167
Hickman,2015-2017,0.195
Hickman,2016-2018,0.207
Hopkins,2008-2010,0.297
Hopkins,2009-2011,0.256
Hopkins,2010-2012,0.247
Hopkins,2011-2013,0.262
Hopkins,2012-2014,0.246
Hopkins,2013-2015,0.242
Hopkins,2014-2016,0.228
Hopkins,2015-2017,0.252
Hopkins,2016-2018,0.237
Jackson,2008-2010,0.427
Jackson,2009-2011,0.413
Jackson,2010-2012,0.375
Jackson,2011-2013,0.367
Jackson,2012-2014,0.36
Jackson,2013-2015,0.382
Jackson,2014-2016,0.367
Jackson,2015-2017,0.364
Jackson,2016-2018,0.341
Jefferson,2008-2010,0.154
Jefferson,2009-2011,0.131
Jefferson,2010-2012,0.124
Jefferson,2011-2013,0.121
Jefferson,2012-2014,0.114
Jefferson,2013-2015,0.105
Jefferson,2014-2016,0.1
Jefferson,2015-2017,0.106
Jefferson,2016-2018,0.102
Jessamine,2008-2010,0.231
Jessamine,2009-2011,0.208
Jessamine,2010-2012,0.209
Jessamine,2011-2013,0.216
Jessamine,2012-2014,0.216
Jessamine,2013-2015,0.212
Jessamine,2014-2016,0.196
Jessamine,2015-2017,0.207
Jessamine,2016-2018,0.184
Johnson,2008-2010,0.319
Johnson,2009-2011,0.278
Johnson,2010-2012,0.304
Johnson,2011-2013,0.298
Johnson,2012-2014,0.289
Johnson,2013-2015,0.256
Johnson,2014-2016,0.247
Johnson,2015-2017,0.237
Johnson,2016-2018,0.227
Kenton,2008-2010,0.252
Kenton,2009-2011,0.229
Kenton,2010-2012,0.206
Kenton,2011-2013,0.205
Kenton,2012-2014,0.202
Kenton,2013-2015,0.202
Kenton,2014-2016,0.195
Kenton,2015-2017,0.206
Kenton,2016-2018,0.197
Knott,2008-2010,0.362
Knott,2009-2011,0.34
Knott,2010-2012,0.342
Knott,2011-2013,0.319
